"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri kole ak pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Kafe ayisyen , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Koka ak lèt , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Tampiko , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Akasan , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Ragaman , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Robusto , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Tropic , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Red , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Kouronn , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Fiesta , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Limonade , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Tampico Soda , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Toro , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Malta ak let , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Kola ak let , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Ji kowosol , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Mabi , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Godrin Mabi ananas , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Punch , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Jimex , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Juna , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
